parent_phrase,parent_exact_count,total_group_admissions,n_unique_child_complaints,n_MHH1_psychotic,n_MHC0,pct_MHH1_psychotic,example_child_complaints,most_frequent_child_complaints,suggested_manual_label,include_for_workup_analysis,reviewer_notes
leg pain,8,75,43,39,36,52.0,abdominal pain and left leg pain | abdominal pain left leg pain | back and leg pain | back buttock and bilateral leg pain | back pain and leg pain | back pain leg pain | bilateral leg pain | bilateral leg pain falls weakness | chest pain and leg pain | chest pain left leg pain | fall from standing left leg pain | fall left leg pain | fever and leg pain | fever left leg pain x 10 days | headache chest pain abdominal pain back pain arm pain leg pain | hypoglycemia leg pain | l arm and l leg pain | l arm and r leg pain | l leg pain and swelling | left leg pain,left leg pain (14) | leg pain (8) | back and leg pain (5) | bilateral leg pain (4) | r leg pain (3) | leg pain and swelling (3) | fever and leg pain (2) | chest pain left leg pain (1) | shortness of breath right leg pain (1) | headache chest pain abdominal pain back pain arm pain leg pain (1) | right leg pain and warmth (1) | l leg pain and swelling (1) | shortness of breath leg pain (1) | abdominal pain left leg pain (1) | abdominal pain and left leg pain (1) | fever left leg pain x 10 days (1) | shortness of breath / leg pain and swelling (1) | leg abscesses and leg pain (1) | left leg pain fall (1) | leg pain redness (1),,,
fracture,0,75,55,41,34,54.666666666666664,bilateral mandibular fracture | c2 fracture with cord compression | failure to thrive weakness fall with rib fracture | fall 2 days ago now w/ right chest pain t8-10 rib fracture | fall hip fracture | fall l rib fracture | fall right hip fracture | fall/hip fracture altered mental status | fall/humerus fracture | femur fracture | femur fracture fall | hip fracture | hip fracture fall | l intertrochanteric hip fracture | l radial fracture hypertensive emergency | left acetabular fracture | left acetabular fracture urinary tract infection | left distal tibia and fibula fracture | left femoral neck fracture | left hip fracture,right hip fracture (5) | hip fracture (4) | right femur fracture (3) | left hip fracture (3) | right femoral neck fracture (3) | r tibia fracture (2) | femur fracture (2) | right foot ulceration right calcaneus fracture osteomyelitis (2) | left acetabular fracture (2) | right distal femur fracture (2) | t12 fracture (2) | left intertrochanteric hip fracture (2) | bilateral mandibular fracture (1) | left lower extremity pain -- left multipart intertrochanteric hip fracture (1) | l intertrochanteric hip fracture (1) | mechanical fall left hip fracture (1) | fall right hip fracture (1) | femur fracture fall (1) | r hip fracture fall (1) | left tibial shaft fracture distal fibular fracture (1),,,
hip pain,2,63,17,35,28,55.55555555555556,- left wrist erythema/edema right hip pain | bilateral hip pain and stiffness | dr cc left hip pain | hip pain | hip pain after mechanical fall | l hip pain | left hip pain | left hip pain overlying prominent screw | r hip pain | r hip pain r back pain | right arm pain right hip pain weakness and fever | right hip pain | right hip pain right greater trochanter fracture status post right total hip replacement | right hip pain secondary to right hip osteoarthritis | shortness of breath hip pain fall headache | unwitnessed fall hip pain | unwitnesses fall left hip pain,left hip pain (24) | right hip pain (12) | l hip pain (8) | r hip pain (5) | hip pain (2) | dr cc left hip pain (1) | shortness of breath hip pain fall headache (1) | right arm pain right hip pain weakness and fever (1) | r hip pain r back pain (1) | right hip pain secondary to right hip osteoarthritis (1) | unwitnessed fall hip pain (1) | right hip pain right greater trochanter fracture status post right total hip replacement (1) | bilateral hip pain and stiffness (1) | left hip pain overlying prominent screw (1) | hip pain after mechanical fall (1) | - left wrist erythema/edema right hip pain (1) | unwitnesses fall left hip pain (1),,,
leg swelling,21,61,28,31,30,50.81967213114754,abdominal distention leg swelling | bilateral leg swelling | bilateral leg swelling weakness dehydration | dyspnea and bilateral leg swelling | dyspnea leg swelling | dyspnea lower leg swelling | dyspnea on exertion leg swelling | left groin pain left leg swelling | left leg swelling and pain | left leg swelling redness and pain | leg swelling | leg swelling abdominal distention oral pain | leg swelling and pain | leg swelling cough | leg swelling fatigue | leg swelling mild confusion | leg swelling pain chills | leg swelling pain shortness of breath | leg swelling shortness of breath | leg swelling suprapubic abdominal pain,leg swelling (21) | right leg swelling (5) | shortness of breath leg swelling (3) | dyspnea on exertion leg swelling (3) | right leg swelling and pain (3) | leg swelling shortness of breath (2) | left leg swelling and pain (2) | dyspnea leg swelling (2) | dyspnea and bilateral leg swelling (1) | leg swelling and pain (1) | leg swelling pain chills (1) | leg swelling mild confusion (1) | left groin pain left leg swelling (1) | right leg swelling and infection (1) | bilateral leg swelling (1) | dyspnea lower leg swelling (1) | lower extremity leg swelling (1) | leg swelling abdominal distention oral pain (1) | leg swelling suprapubic abdominal pain (1) | bilateral leg swelling weakness dehydration (1),,,
pain nausea,1,54,23,26,28,48.148148148148145,abdominal pain nausea | abdominal pain nausea and constipation | abdominal pain nausea and vomiting | abdominal pain nausea transaminitis | abdominal pain nausea vomiting | abdominal pain nausea vomiting and diarrhea | abdominal pain nausea vomiting and diarrhea x1d | abdominal pain nausea vomiting diarrhea | abdominal pain nausea vomiting diarrhea fever | abdominal pain nausea vomiting malaise x3 days | abdominal pain nausea vomiting poor po intake x1 week | abdominal pain nausea vomiting x 3 days | chest pain nausea | chest pain nausea abdominal pain | chest pain nausea vomiting diarrhea | cough chest pain nausea | epigastric abdominal pain nausea vomiting diarrhea | epigastric pain nausea | epigastric pain nausea vomiting | epigastric/flank pain nausea and vomitting,abdominal pain nausea vomiting (17) | abdominal pain nausea (10) | abdominal pain nausea and vomiting (4) | abdominal pain nausea vomiting diarrhea (3) | chest pain nausea (2) | abdominal pain nausea transaminitis (1) | abdominal pain nausea vomiting and diarrhea x1d (1) | fevers abdominal pain nausea vomiting (1) | epigastric abdominal pain nausea vomiting diarrhea (1) | epigastric/flank pain nausea and vomitting (1) | chest pain nausea abdominal pain (1) | intermittent chest pain nausea headache palpitations (1) | abdominal pain nausea vomiting x 3 days (1) | epigastric pain nausea (1) | abdominal pain nausea vomiting diarrhea fever (1) | abdominal pain nausea vomiting malaise x3 days (1) | abdominal pain nausea vomiting and diarrhea (1) | epigastric pain nausea vomiting (1) | pain nausea (1) | cough chest pain nausea (1),,,
bright red blood per rectum,34,53,16,25,28,47.16981132075472,abdominal pain and bright red blood per rectum | abdominal pain and bright red blood per rectum in crohn s patient | abdominal pain bright red blood per rectum | bright red blood per rectum | bright red blood per rectum abdominal pain | bright red blood per rectum and abdominal pain | bright red blood per rectum and abdominal pain post-colonoscopy | bright red blood per rectum and hemoptysis | bright red blood per rectum anorexia | bright red blood per rectum hematuria | coffee-ground emesis bright red blood per rectum | gastrointestinal bleed bright red blood per rectum | hematemesis/ bright red blood per rectum x1 day | hypotension bright red blood per rectum | melena bright red blood per rectum | syncope bright red blood per rectum,bright red blood per rectum (34) | melena bright red blood per rectum (3) | abdominal pain bright red blood per rectum (2) | gastrointestinal bleed bright red blood per rectum (2) | hypotension bright red blood per rectum (1) | abdominal pain and bright red blood per rectum in crohn s patient (1) | syncope bright red blood per rectum (1) | hematemesis/ bright red blood per rectum x1 day (1) | bright red blood per rectum and abdominal pain (1) | bright red blood per rectum abdominal pain (1) | bright red blood per rectum anorexia (1) | bright red blood per rectum and abdominal pain post-colonoscopy (1) | bright red blood per rectum hematuria (1) | bright red blood per rectum and hemoptysis (1) | abdominal pain and bright red blood per rectum (1) | coffee-ground emesis bright red blood per rectum (1),,,
urinary tract infection,22,53,30,26,27,49.056603773584904,abdominal pain bacterial urinary tract infection | acute renal failure urinary tract infection ileus | agitation urinary tract infection | altered mental status / urinary tract infection | altered mental status urinary tract infection | altered mental status urinary tract infection vp shunt assessment | bacterial urinary tract infection lightheaded | dysuria fevers ureteral stone urinary tract infection | fever diarrhea urinary tract infection | fever urinary tract infection | hypotension urinary tract infection | left acetabular fracture urinary tract infection | lightheadedness urinary tract infection | nausea fatigue poor apetite mdr e coli urinary tract infection | picc displacement urinary retention urinary tract infection | pneumonia urinary tract infection igg deficiency | right buttocks pain urinary retention urinary tract infection | septicemia urinary tract infection c diff colitis | staghorn calculus recurring urinary tract infection | syncope flank pain urinary tract infection,urinary tract infection (22) | altered mental status urinary tract infection (3) | fever urinary tract infection (1) | urinary tract infection fever (1) | lightheadedness urinary tract infection (1) | staghorn calculus recurring urinary tract infection (1) | agitation urinary tract infection (1) | transfer from osh with urinary tract infection (1) | urinary tract infection and incision fluid collection (1) | pneumonia urinary tract infection igg deficiency (1) | left acetabular fracture urinary tract infection (1) | altered mental status / urinary tract infection (1) | septicemia urinary tract infection c diff colitis (1) | altered mental status urinary tract infection vp shunt assessment (1) | nausea fatigue poor apetite mdr e coli urinary tract infection (1) | weakness urinary tract infection (1) | picc displacement urinary retention urinary tract infection (1) | acute renal failure urinary tract infection ileus (1) | fever diarrhea urinary tract infection (1) | urinary tract infection and altered mental status (1),,,
flank pain,12,52,26,22,30,42.30769230769231,abdominal pain right flank pain | dropping hematocrit flank pain fever renal mass | dyspnea flank pain rib pain | fall left hip and left flank pain | fever nausea vomiting left sided flank pain dysuria | fevers dysuria flank pain | flank pain | flank pain and vertigo | flank pain chills | flank pain dysuria | flank pain fever | flank pain fevers nausea vomiting | flank pain hyponatremia | flank pain nephrolithiasis | flank pain right nephrolithiasis | foul smelling urine flank pain | l chest pain and b/l flank pain | l flank pain | left flank pain | nausea vomiting flank pain,flank pain (12) | right flank pain (8) | r flank pain (5) | left flank pain (4) | nausea vomiting flank pain (2) | dyspnea flank pain rib pain (1) | fevers dysuria flank pain (1) | flank pain and vertigo (1) | flank pain right nephrolithiasis (1) | l flank pain (1) | right flank pain recent falls (1) | l chest pain and b/l flank pain (1) | nausea vomiting right upper quadrant/r flank pain tachycardia (1) | dropping hematocrit flank pain fever renal mass (1) | flank pain fevers nausea vomiting (1) | flank pain chills (1) | abdominal pain right flank pain (1) | foul smelling urine flank pain (1) | fever nausea vomiting left sided flank pain dysuria (1) | flank pain dysuria (1),,,
left lower,0,51,37,24,27,47.05882352941176,abdominal pain left lower extremity dvt | chest pain left lower quadrant abdominal pain | chronic left lower lobe effusion | fall left lower extremity pain | fevers with redness and swelling in left lower extremity | hemoptysis left lower lobe opacity concerning for pneumonia | left lower abdominal pain pressure and bloating | left lower extremity cellulitis | left lower extremity edema | left lower extremity edema and pain | left lower extremity edema pain | left lower extremity hallux ulcer/cellulitis | left lower extremity ischemia with claudication | left lower extremity ischemia with ulceration | left lower extremity non-healing ulcers cellulitis | left lower extremity pain | left lower extremity pain -- left multipart intertrochanteric hip fracture | left lower extremity pain and redness | left lower extremity peripheral vascular disease | left lower extremity redness,left lower extremity cellulitis (5) | left lower extremity pain (3) | left lower extremity redness (3) | left lower extremity swelling (3) | left lower extremity ischemia with ulceration (2) | left lower extremity ulcer (2) | left lower extremity edema (2) | left lower quadrant pain (2) | left lower extremity edema and pain (1) | yo male with self inflicted shallow stab wound to left lower abdomen from box cutter (1) | left lower extremity pain -- left multipart intertrochanteric hip fracture (1) | left lower extremity non-healing ulcers cellulitis (1) | left lower extremity peripheral vascular disease (1) | chest pain left lower quadrant abdominal pain (1) | fall left lower extremity pain (1) | left lower leg redness and edema (1) | non-healing left lower extremity ulcers (1) | redness swelling and pain in left lower extremity (1) | left lower extremity pain and redness (1) | hemoptysis left lower lobe opacity concerning for pneumonia (1),,,
dyspnea on exertion,23,48,22,22,26,45.83333333333333,anasarca nephrotic syndrome and membranous nephropathy dyspnea on exertion prostate cancer | ascites dyspnea on exertion | chest discomfort dyspnea on exertion | chest numbness dyspnea on exertion | chest pain dyspnea on exertion | chest pressure dyspnea on exertion | cough and dyspnea on exertion | dyspnea on exertion | dyspnea on exertion abdominal pain | dyspnea on exertion altered mental status | dyspnea on exertion chest pain | dyspnea on exertion dizziness chest pain | dyspnea on exertion edema | dyspnea on exertion leg swelling | dyspnea on exertion lower extremity edema | dyspnea on exertion palpitations | edema dyspnea on exertion | malaise dyspnea on exertion edema | scrotal swelling dyspnea on exertion | upper back pain dyspnea on exertion,dyspnea on exertion (23) | dyspnea on exertion leg swelling (3) | dyspnea on exertion chest pain (2) | dyspnea on exertion lower extremity edema (2) | chest numbness dyspnea on exertion (1) | scrotal swelling dyspnea on exertion (1) | dyspnea on exertion abdominal pain (1) | dyspnea on exertion altered mental status (1) | cough and dyspnea on exertion (1) | edema dyspnea on exertion (1) | dyspnea on exertion edema (1) | weakness dyspnea on exertion (1) | weight gain lower extremity edema dyspnea on exertion (1) | chest pressure dyspnea on exertion (1) | chest discomfort dyspnea on exertion (1) | anasarca nephrotic syndrome and membranous nephropathy dyspnea on exertion prostate cancer (1) | dyspnea on exertion dizziness chest pain (1) | dyspnea on exertion palpitations (1) | chest pain dyspnea on exertion (1) | ascites dyspnea on exertion (1),,,
right upper,0,47,26,21,26,44.680851063829785,bleeding/ulceration from right upper extremity avg | chest pain right upper quadrant pain | clotted right upper extremity av graft | cough right chest pain right upper quadrant abdominal pain | cough right upper quadrant pain | esrd right upper extremity brachio-brachial fistula | fever right upper extremity swelling pain redness | nausea vomiting right upper quadrant/r flank pain tachycardia | right upper extremity av graft thrombosis | right upper extremity fistula ulcer | right upper extremity numbness | right upper extremity radiculopathy | right upper extremity swelling | right upper extremity swelling pain | right upper extremity thrombosed fistula | right upper extremity weakness dyspnea | right upper lobe 3cm mass | right upper quadrant abdominal pain | right upper quadrant abdominal pain rigors nausea diarrhea | right upper quadrant pain,right upper quadrant pain (17) | right upper extremity numbness (3) | right upper quadrant abdominal pain (3) | right upper extremity swelling (2) | thrombosed right upper extremity avg (1) | right upper quadrant pain post-ercp (1) | right upper extremity fistula ulcer (1) | right upper quadrant pain hematemesis (1) | thrombosed right upper extremity av graft (1) | right upper extremity av graft thrombosis (1) | right upper extremity weakness dyspnea (1) | right upper extremity swelling pain (1) | cough right chest pain right upper quadrant abdominal pain (1) | right upper quadrant abdominal pain rigors nausea diarrhea (1) | nausea vomiting right upper quadrant/r flank pain tachycardia (1) | fever right upper extremity swelling pain redness (1) | clotted right upper extremity av graft (1) | year old male admitted with 2 day history of constant colicky severe right flank and right upper quadrant pain 2 hours post prandial (1) | right upper extremity radiculopathy (1) | right upper quadrant pain elevated lft s (1),,,
left leg,0,46,30,19,27,41.30434782608695,1 large left retroperitoneal fluid collection 2 infected left leg external-fixator pin sites 3 left leg dvt | abdominal pain and left leg pain | abdominal pain left leg pain | chest pain left leg pain | fall from standing left leg pain | fall left leg pain | fever left leg pain x 10 days | hypoxia confusion left leg wound | left groin pain left leg swelling | left leg and arm numbness | left leg and arm weakness | left leg cellulitis | left leg erythema pain | left leg nonhealing ulcer | left leg pain | left leg pain after fall | left leg pain and back pain | left leg pain fall | left leg pain rash | left leg radidular pain,left leg pain (14) | left leg cellulitis (3) | left leg swelling and pain (2) | chest pain left leg pain (1) | abdominal pain left leg pain (1) | abdominal pain and left leg pain (1) | fever left leg pain x 10 days (1) | left leg nonhealing ulcer (1) | 1 large left retroperitoneal fluid collection 2 infected left leg external-fixator pin sites 3 left leg dvt (1) | left leg pain fall (1) | sommulence body aches and painful left leg (1) | persistent left leg pain (1) | left groin pain left leg swelling (1) | fall from standing left leg pain (1) | left leg pain and back pain (1) | left leg erythema pain (1) | pain and swelling in left leg (1) | left leg pain rash (1) | hypoxia confusion left leg wound (1) | low back pain and left leg pain (1),,,
respiratory distress,29,45,13,27,18,60.0,acute on chronic respiratory distress | acute respiratory distress | altered mental status and respiratory distress | altered mental status respiratory distress | hypotension respiratory distress | hypoxemic respiratory distress | hypoxic respiratory distress | respiratory distress | respiratory distress and somnolence | respiratory distress dyspnea hypoxia | respiratory distress fevers | respiratory distress hypoxia | respiratory distress in setting of hypertensive emergency,respiratory distress (29) | acute respiratory distress (4) | altered mental status respiratory distress (2) | respiratory distress and somnolence (1) | respiratory distress in setting of hypertensive emergency (1) | altered mental status and respiratory distress (1) | hypoxic respiratory distress (1) | hypotension respiratory distress (1) | respiratory distress dyspnea hypoxia (1) | respiratory distress fevers (1) | respiratory distress hypoxia (1) | acute on chronic respiratory distress (1) | hypoxemic respiratory distress (1),,,
